id,clave
d001,dfu-flash.still-in-dfu
d002,dfu-flash.tool-not-found
d003,dfu-flash.tool-not-started
d004,dfu-flash.waiting-for-dfu
d005,firmware-artifacts.checksum-mismatch
d006,firmware-artifacts.checksum-mismatch-release
d007,firmware-artifacts.checksums-invalid-line
d008,firmware-artifacts.checksums-unsafe-path
d009,firmware-artifacts.missing-bootloader
d010,firmware-artifacts.missing-checksums
d011,firmware-artifacts.missing-tool
d012,firmware-artifacts.not-described
d013,firmware-artifacts.pin-mismatch
d014,firmware-artifacts.zip-incomplete
d015,firmware-artifacts.zip-invalid
d016,firmware-artifacts.zip-unsafe-path
d017,installer-error.authorization-cancelled
d018,installer-error.bootloader-not-applied
d019,installer-error.checksum-mismatch
d020,installer-error.device-disconnected-during-copy
d021,installer-error.device-not-found
d022,installer-error.device-stuck-in-dfu
d023,installer-error.dfu-driver-missing
d024,installer-error.dfu-timeout
d025,installer-error.disk-ambiguous.one
d026,installer-error.disk-ambiguous.other
d027,installer-error.dual-boot-requires-winpod
d028,installer-error.incomplete-rockbox-tree
d029,installer-error.missing-artifact
d030,installer-error.process-failed
d031,installer-error.release-download-failed
d032,installer-error.release-missing-asset
d033,installer-error.wrong-disk-format
d034,privileged.authorization-cancelled
d035,privileged.disk-number-out-of-range
d036,privileged.dry-run-complete
d037,privileged.empty-volume-label
d038,privileged.format-done
d039,privileged.missing-expected-size
d040,privileged.negative-tolerance
d041,privileged.no-result
d042,privileged.request-failed
d043,privileged.request-unreadable
d044,privileged.result-unreadable
d045,privileged.resume-guard-failed
d046,privileged.service-already-running
d047,privileged.service-already-stopped
d048,privileged.service-cannot-stop
d049,privileged.service-not-installed
d050,privileged.service-restarted
d051,privileged.service-stopped
d052,privileged.service-timeout
d053,privileged.unknown-operation
