clave_propuesta,archivo,linea,tipo,texto_original,texto_con_marcadores,tiene_interpolacion,duplicado_de_n_sitios
albums-view.mostrar-finder,studio/AuraStudio/Sources/AuraStudio/Views/MoviesView.swift,440,Button,Mostrar en Finder,Mostrar en Finder,no,13
albums-view.mostrar-finder,studio/AuraStudio/Sources/AuraStudio/Views/PhotoAlbumsView.swift,401,Button,Mostrar en Finder,Mostrar en Finder,no,13
albums-view.mostrar-finder,studio/AuraStudio/Sources/AuraStudio/Views/PhotoAlbumsView.swift,530,Button,Mostrar en Finder,Mostrar en Finder,no,13
albums-view.mostrar-finder,studio/AuraStudio/Sources/AuraStudio/Views/SeriesView.swift,472,Button,Mostrar en Finder,Mostrar en Finder,no,13
albums-view.mostrar-finder,studio/AuraStudio/Sources/AuraStudio/Views/SeriesView.swift,508,Button,Mostrar en Finder,Mostrar en Finder,no,13
albums-view.mostrar-finder,studio/AuraStudio/Sources/AuraStudio/Views/SettingsSectionView.swift,101,Button,Mostrar en Finder,Mostrar en Finder,no,13
albums-view.mostrar-finder,studio/AuraStudio/Sources/AuraStudio/Views/SimilarItemsView.swift,374,Button,Mostrar en Finder,Mostrar en Finder,no,13
albums-view.ordenar-albumes,studio/AuraStudio/Sources/AuraStudio/Views/AlbumsView.swift,357,.help,Ordenar los álbumes,Ordenar los álbumes,no,
albums-view.ordenar-por,studio/AuraStudio/Sources/AuraStudio/Views/AlbumsView.swift,347,Picker,Ordenar por,Ordenar por,no,2
albums-view.ordenar-por,studio/AuraStudio/Sources/AuraStudio/Views/MoviesView.swift,234,Picker,Ordenar por,Ordenar por,no,2
albums-view.texto,studio/AuraStudio/Sources/AuraStudio/Views/AlbumsView.swift,652,.help,\(album.title) — \(album.artist),%@ — %@,sí,
app-menu-commands.agregar-biblioteca,studio/AuraStudio/Sources/AuraStudio/Views/AppMenuCommands.swift,118,Button,Agregar a la biblioteca...,Agregar a la biblioteca...,no,
app-menu-commands.buscar-actualizaciones-aura-studio,studio/AuraStudio/Sources/AuraStudio/Views/AppMenuCommands.swift,105,Button,Buscar actualizaciones de Aura Studio...,Buscar actualizaciones de Aura Studio...,no,
app-menu-commands.buscar-elementos-similares,studio/AuraStudio/Sources/AuraStudio/Views/AppMenuCommands.swift,169,Button,Buscar elementos similares...,Buscar elementos similares...,no,2
app-menu-commands.buscar-elementos-similares,studio/AuraStudio/Sources/AuraStudio/Views/MediaSectionView.swift,1130,Button,Buscar elementos similares...,Buscar elementos similares...,no,2
app-menu-commands.deseleccionar-todo,studio/AuraStudio/Sources/AuraStudio/Views/AppMenuCommands.swift,73,Button,Deseleccionar todo,Deseleccionar todo,no,
app-menu-commands.mostrar-barra-estado,studio/AuraStudio/Sources/AuraStudio/Views/AppMenuCommands.swift,134,Text,Mostrar barra de estado,Mostrar barra de estado,no,
app-menu-commands.mostrar-carpeta-biblioteca-finder,studio/AuraStudio/Sources/AuraStudio/Views/AppMenuCommands.swift,177,Button,Mostrar carpeta de la biblioteca en Finder,Mostrar carpeta de la biblioteca en Finder,no,
app-menu-commands.seleccionar-todo,studio/AuraStudio/Sources/AuraStudio/Views/AppMenuCommands.swift,67,Button,Seleccionar todo,Seleccionar todo,no,
app-update-bar.abre-notas-version-github,studio/AuraStudio/Sources/AuraStudio/Views/AppUpdateBar.swift,36,.help,Abre las notas de la versión \(update.version.releaseString) en GitHub,Abre las notas de la versión %@ en GitHub,sí,
app-update-bar.ahora-no,studio/AuraStudio/Sources/AuraStudio/Views/AppUpdateBar.swift,43,Button,Ahora no,Ahora no,no,3
app-update-bar.ahora-no,studio/AuraStudio/Sources/AuraStudio/Views/MediaSectionView.swift,523,Button,Ahora no,Ahora no,no,3
app-update-bar.ahora-no,studio/AuraStudio/Sources/AuraStudio/Views/MediaSectionView.swift,571,Button,Ahora no,Ahora no,no,3
app-update-bar.baja-aura-studio-no-se-actualiza,studio/AuraStudio/Sources/AuraStudio/Views/AppUpdateBar.swift,41,.help,"Baja \(update.assetName). Aura Studio no se actualiza sola: cuando termine, ábrelo y arrastra la app a Aplicaciones.","Baja %@. Aura Studio no se actualiza sola: cuando termine, ábrelo y arrastra la app a Aplicaciones.",sí,
app-update-bar.descargar,studio/AuraStudio/Sources/AuraStudio/Views/AppUpdateBar.swift,39,Button,Descargar,Descargar,no,
app-update-bar.hay-version-nueva-aura-studio,studio/AuraStudio/Sources/AuraStudio/Views/AppUpdateBar.swift,22,Text,Hay una versión nueva de Aura Studio: \(update.version.releaseString),Hay una versión nueva de Aura Studio: %@,sí,
app-update-bar.instalador-todavia-no-esta-publicado-ese,studio/AuraStudio/Sources/AuraStudio/Views/AppUpdateBar.swift,27,Text,El instalador todavía no está publicado en ese Release.,El instalador todavía no está publicado en ese Release.,no,
app-update-bar.oculta-este-aviso-no-vuelve-aparecer,studio/AuraStudio/Sources/AuraStudio/Views/AppUpdateBar.swift,45,.help,Oculta este aviso. No vuelve a aparecer por esta versión.,Oculta este aviso. No vuelve a aparecer por esta versión.,no,
app-update-bar.ver-novedades,studio/AuraStudio/Sources/AuraStudio/Views/AppUpdateBar.swift,34,Button,Ver novedades,Ver novedades,no,
artist-image-store.02x,studio/AuraStudio/Sources/AuraStudio/Services/ArtistImageStore.swift,44,String(format:),_%02x,_%02x,no,
artists-view.artistas,studio/AuraStudio/Sources/AuraStudio/Views/ArtistsView.swift,77,.navigationTitle,Artistas,Artistas,no,
artists-view.artistas-seleccionados,studio/AuraStudio/Sources/AuraStudio/Views/ArtistsView.swift,247,Text,\(artists.count) artistas seleccionados,%lld artistas seleccionados,sí,
artists-view.buscar-fotos,studio/AuraStudio/Sources/AuraStudio/Views/ArtistsView.swift,257,Button,Buscar fotos,Buscar fotos,no,
artists-view.buscar-fotos-artistas-linea-fanart-tv,studio/AuraStudio/Sources/AuraStudio/Views/ArtistsView.swift,168,.help,Buscar fotos de los artistas en línea (fanart.tv / Deezer),Buscar fotos de los artistas en línea (fanart.tv / Deezer),no,
artists-view.elige-artista-lista,studio/AuraStudio/Sources/AuraStudio/Views/ArtistsView.swift,229,Text,Elige un artista de la lista.,Elige un artista de la lista.,no,
artists-view.eliminar,studio/AuraStudio/Sources/AuraStudio/Views/ArtistsView.swift,262,Button,Eliminar,Eliminar,no,7
artists-view.eliminar,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,161,Button,Eliminar,Eliminar,no,7
artists-view.eliminar,studio/AuraStudio/Sources/AuraStudio/Views/MediaSectionView.swift,1136,Button,Eliminar,Eliminar,no,7
artists-view.eliminar,studio/AuraStudio/Sources/AuraStudio/Views/SimilarItemsView.swift,89,Text,Eliminar,Eliminar,no,7
artists-view.eliminar,studio/AuraStudio/Sources/AuraStudio/Views/SyncSheets.swift,134,Button,Eliminar,Eliminar,no,7
artists-view.eliminar,studio/AuraStudio/Sources/AuraStudio/Views/ThemesView.swift,167,Button,Eliminar,Eliminar,no,7
artists-view.eliminar,studio/AuraStudio/Sources/AuraStudio/Views/ThemesView.swift,203,Button,Eliminar,Eliminar,no,7
