clave_propuesta,archivo,linea,tipo,texto_original,texto_con_marcadores,tiene_interpolacion,duplicado_de_n_sitios
detect-device-view.encontramos-con-firmware-original-apple,studio/AuraStudio/Sources/AuraStudio/Views/DetectDeviceView.swift,77,Text,"Encontramos ""\(info.volumeName)"", con el firmware original de Apple (no esta en FAT32 todavia). No hace falta que lo conviertas: haz clic en ""Ya lo conecte, continuar igual"" y Aura Studio lo formatea automaticamente en el paso de preparar el disco, mas adelante.","Encontramos ""%@"", con el firmware original de Apple (no esta en FAT32 todavia). No hace falta que lo conviertas: haz clic en ""Ya lo conecte, continuar igual"" y Aura Studio lo formatea automaticamente en el paso de preparar el disco, mas adelante.",sí,
detect-device-view.encontramos-dispositivo-apple-pero-no-pu,studio/AuraStudio/Sources/AuraStudio/Views/DetectDeviceView.swift,85,Text,"Encontramos un dispositivo Apple, pero no pudimos confirmar que sea un iPod Classic 6G.","Encontramos un dispositivo Apple, pero no pudimos confirmar que sea un iPod Classic 6G.",no,
detect-device-view.encontramos-preparando-siguiente-paso,studio/AuraStudio/Sources/AuraStudio/Views/DetectDeviceView.swift,81,Text,"Encontramos ""\(info.volumeName)"". Preparando el siguiente paso...","Encontramos ""%@"". Preparando el siguiente paso...",sí,
detect-device-view.encontramos-tu-ipod-pero-su-disco,studio/AuraStudio/Sources/AuraStudio/Views/DetectDeviceView.swift,79,Text,"Encontramos tu iPod, pero su disco no tiene un sistema de archivos legible (asi se ve en el modo bootloader, o si una instalacion quedo a medias). Haz clic en ""Ya lo conecte, continuar igual"" para prepararlo e instalar Aura.","Encontramos tu iPod, pero su disco no tiene un sistema de archivos legible (asi se ve en el modo bootloader, o si una instalacion quedo a medias). Haz clic en ""Ya lo conecte, continuar igual"" para prepararlo e instalar Aura.",no,
detect-device-view.tu-ipod-ya-esta-modo-dfu,studio/AuraStudio/Sources/AuraStudio/Views/DetectDeviceView.swift,83,Text,Tu iPod ya esta en modo DFU.,Tu iPod ya esta en modo DFU.,no,
detect-device-view.ya-lo-conecte-continuar-igual,studio/AuraStudio/Sources/AuraStudio/Views/DetectDeviceView.swift,30,Button,"Ya lo conecte, continuar igual","Ya lo conecte, continuar igual",no,
device-activity-bar.alcance,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,86,Picker,Alcance,Alcance,no,
device-activity-bar.archivo-s-listo-s-para-sincronizar,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,132,Text,\(pendingCount) archivo(s) listo(s) para sincronizar.,%lld archivo(s) listo(s) para sincronizar.,sí,
device-activity-bar.cancelando,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,177,Text,Cancelando...,Cancelando...,no,
device-activity-bar.conecta-tu-ipod-para-sincronizar,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,126,Text,Conecta tu iPod para sincronizar.,Conecta tu iPod para sincronizar.,no,
device-activity-bar.instala-aura-este-ipod-para-poder,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,128,Text,Instala Aura en este iPod para poder sincronizar.,Instala Aura en este iPod para poder sincronizar.,no,
device-activity-bar.sincronizando-archivo-s,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,159,Text,Sincronizando \(progress.copied) de \(progress.total) archivo(s)...,Sincronizando %@ de %@ archivo(s)...,sí,
device-activity-bar.sincronizar,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,103,Button,Sincronizar,Sincronizar,no,2
device-activity-bar.sincronizar,studio/AuraStudio/Sources/AuraStudio/Views/SyncSheets.swift,52,Button,Sincronizar,Sincronizar,no,2
device-activity-bar.toda-biblioteca,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,87,Text,Toda la biblioteca,Toda la biblioteca,no,
device-activity-bar.todo-sincronizado,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,134,Text,Todo sincronizado.,Todo sincronizado.,no,
device-activity-bar.usados-libres,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,75,Text,\(byteString(device.usedBytes)) usados de \(byteString(device.capacityBytes)) -- \(byteString(device.freeBytes)) libres,%@ usados de %@ -- %@ libres,sí,
device-activity-bar.verificando-ipod,studio/AuraStudio/Sources/AuraStudio/Views/DeviceActivityBar.swift,117,Text,Verificando el iPod...,Verificando el iPod...,no,
device-general-view.actualizacion-disponible,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,259,Text,Actualización de \(name)\(version) disponible,Actualización de %@%@ disponible,sí,
device-general-view.administrar-contenido,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,385,Label,Administrar contenido,Administrar contenido,no,
device-general-view.buscar-actualizaciones,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,297,Button,Buscar actualizaciones de \(name),Buscar actualizaciones de %@,sí,
device-general-view.conecta-tu-ipod,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,522,Text,Conecta tu iPod,Conecta tu iPod,no,
device-general-view.contenido,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,371,Text,Contenido,Contenido,no,4
device-general-view.contenido,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,378,Text,Contenido,Contenido,no,4
device-general-view.contenido,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,391,Text,Contenido,Contenido,no,4
device-general-view.contenido,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,398,Text,Contenido,Contenido,no,4
device-general-view.contenido-solo-ipod,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,123,Button,Contenido solo en el iPod (\(index.foreignFiles.count))…,Contenido solo en el iPod (%lld)…,sí,
device-general-view.disco-esta-vacio-instala-aura-desde,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,399,Text,El disco esta vacio. Instala Aura desde la seccion Instalador para empezar a usarlo.,El disco esta vacio. Instala Aura desde la seccion Instalador para empezar a usarlo.,no,
device-general-view.eliminar-contenido,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,436,Text,Eliminar contenido,Eliminar contenido,no,
device-general-view.esta-accion-no-se-puede-deshacer,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,163,Text,Esta acción no se puede deshacer -- los archivos borrados del iPod no se pueden recuperar. Tu biblioteca en esta Mac no se toca; puedes volver a sincronizar cuando quieras.,Esta acción no se puede deshacer -- los archivos borrados del iPod no se pueden recuperar. Tu biblioteca en esta Mac no se toca; puedes volver a sincronizar cuando quieras.,no,
device-general-view.esta-version-aura-studio-trae-mas,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,261,Text,Esta versión de Aura Studio trae un \(name) más nuevo que el instalado en tu iPod. Actualizar no borra tu música ni tus ajustes.,Esta versión de Aura Studio trae un %@ más nuevo que el instalado en tu iPod. Actualizar no borra tu música ni tus ajustes.,sí,
device-general-view.este-ipod-tiene-rockbox-que-no,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,392,Text,Este iPod tiene un Rockbox que no es Aura: la biblioteca de Aura Studio no aplica a esta instalacion. En la seccion Instalador puedes instalar Aura (sin flashear -- solo se reemplaza la carpeta .rockbox) o restaurar el firmware original.,Este iPod tiene un Rockbox que no es Aura: la biblioteca de Aura Studio no aplica a esta instalacion. En la seccion Instalador puedes instalar Aura (sin flashear -- solo se reemplaza la carpeta .rockbox) o restaurar el firmware original.,no,
device-general-view.expulsar,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,179,Label,Expulsar,Expulsar,no,
device-general-view.general,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,134,.navigationTitle,General,General,no,
device-general-view.hay-archivos-aura-disco-pero-no,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,372,Text,"Hay archivos de Aura en el disco, pero no hay evidencia de que Aura arranque en este iPod: está corriendo el firmware de Apple y Aura nunca escribió su configuración aquí. Instala Aura desde la sección Instalador (flashea el arranque por DFU y vuelve a copiar los archivos) para activar la biblioteca. Si ya lo instalaste, enciende el iPod con Aura una vez y vuelve a conectarlo.","Hay archivos de Aura en el disco, pero no hay evidencia de que Aura arranque en este iPod: está corriendo el firmware de Apple y Aura nunca escribió su configuración aquí. Instala Aura desde la sección Instalador (flashea el arranque por DFU y vuelve a copiar los archivos) para activar la biblioteca. Si ya lo instalaste, enciende el iPod con Aura una vez y vuelve a conectarlo.",no,
device-general-view.instalar-actualizacion,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,278,Button,Instalar actualización de \(name),Instalar actualización de %@,sí,
device-general-view.ipod,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,409,Text,En el iPod,En el iPod,no,
device-general-view.mientras-tanto-puedes-ir-armando-bibliot,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,525,Text,"Mientras tanto puedes ir armando la biblioteca en Musica, Video y Fotos: se sincroniza cuando conectes el dispositivo.","Mientras tanto puedes ir armando la biblioteca en Musica, Video y Fotos: se sincroniza cuando conectes el dispositivo.",no,
device-general-view.musica-este-ipod-administra-firmware-ori,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,379,Text,"La musica de este iPod la administra el firmware original de Apple -- se sincroniza con Finder (o la app Musica), no con Aura Studio. Si instalas Aura desde la seccion Instalador, la biblioteca de Aura Studio se activa.","La musica de este iPod la administra el firmware original de Apple -- se sincroniza con Finder (o la app Musica), no con Aura Studio. Si instalas Aura desde la seccion Instalador, la biblioteca de Aura Studio se activa.",no,
device-general-view.nombre-este-ipod-se-puso-desde,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,200,Text,El nombre de este iPod se puso desde otra Mac; solo desde ahí se puede cambiar.,El nombre de este iPod se puso desde otra Mac; solo desde ahí se puede cambiar.,no,
device-general-view.playlists,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,415,Label,Playlists,Playlists,no,2
device-general-view.playlists,studio/AuraStudio/Sources/AuraStudio/Views/PlaylistsView.swift,38,Text,Playlists,Playlists,no,2
device-general-view.texto,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,417,Text,\(summary.playlistCount),%@,sí,
device-general-view.texto-2,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,507,Text,\(summary.count),%lld,sí,
device-general-view.todavia-no-sincronizaste-este-ipod-con,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,421,Text,Todavia no sincronizaste este iPod con Aura Studio.,Todavia no sincronizaste este iPod con Aura Studio.,no,
device-general-view.tu-ipod-tiene-firmware-que-esta,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,265,Text,"Tu iPod tiene \(name), un firmware que esta versión de Aura Studio no trae embebido. Te avisa de sus actualizaciones pero no puede aplicarlas: descárgala de su repositorio e instálala como de costumbre. Tu biblioteca no se toca.","Tu iPod tiene %@, un firmware que esta versión de Aura Studio no trae embebido. Te avisa de sus actualizaciones pero no puede aplicarlas: descárgala de su repositorio e instálala como de costumbre. Tu biblioteca no se toca.",sí,
device-general-view.ver-release,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,282,Button,Ver el Release de \(name),Ver el Release de %@,sí,
device-general-view.volumen-no-esta-fat32,studio/AuraStudio/Sources/AuraStudio/Views/DeviceGeneralView.swift,215,Label,El volumen no esta en FAT32,El volumen no esta en FAT32,no,
device-name-field.haz-clic-para-cambiar-nombre-ipod,studio/AuraStudio/Sources/AuraStudio/Views/DeviceNameField.swift,43,.help,Haz clic para cambiar el nombre del iPod,Haz clic para cambiar el nombre del iPod,no,
done-view.abrir-acceso-total-al-disco,studio/AuraStudio/Sources/AuraStudio/Views/DoneView.swift,127,Button,Abrir Acceso total al disco,Abrir Acceso total al disco,no,
done-view.detectamos-que-firmware-ya-habia-estado,studio/AuraStudio/Sources/AuraStudio/Views/DoneView.swift,82,Text,"Detectamos que el firmware ya había estado instalado antes, así que solo actualizamos los archivos sin volver a grabar el arranque. Si al desconectar el cable tu iPod NO arranca con \(firmwareName), el arranque se perdió desde la instalación anterior y hace falta grabarlo de nuevo por DFU.","Detectamos que el firmware ya había estado instalado antes, así que solo actualizamos los archivos sin volver a grabar el arranque. Si al desconectar el cable tu iPod NO arranca con %@, el arranque se perdió desde la instalación anterior y hace falta grabarlo de nuevo por DFU.",sí,
done-view.instalar-solo-este-firmware-ipod,studio/AuraStudio/Sources/AuraStudio/Views/DoneView.swift,135,Button,Instalar solo este firmware en el iPod,Instalar solo este firmware en el iPod,no,
done-view.instalaste-modo-dual-boot,studio/AuraStudio/Sources/AuraStudio/Views/DoneView.swift,66,Label,Instalaste en modo dual boot,Instalaste en modo dual boot,no,
done-view.no-arranco-con-terminar-por-dfu,studio/AuraStudio/Sources/AuraStudio/Views/DoneView.swift,85,Button,No arrancó con \(firmwareName) -- terminar por DFU,No arrancó con %@ -- terminar por DFU,sí,
done-view.para-volver-apple-cualquier-momento-mant,studio/AuraStudio/Sources/AuraStudio/Views/DoneView.swift,68,Text,"Para volver a Apple en cualquier momento, mantén SELECT + MENU presionados unos 5 segundos al encender el iPod. Cualquier otra combinacion (o nada) arranca \(firmwareName).","Para volver a Apple en cualquier momento, mantén SELECT + MENU presionados unos 5 segundos al encender el iPod. Cualquier otra combinacion (o nada) arranca %@.",sí,
done-view.reintentar,studio/AuraStudio/Sources/AuraStudio/Views/DoneView.swift,140,Button,Reintentar,Reintentar,no,2
done-view.reintentar,studio/AuraStudio/Sources/AuraStudio/Views/LibraryUnavailableView.swift,57,Button,Reintentar,Reintentar,no,2
done-view.reintentar-ya-prepare-ipod-con-itunes,studio/AuraStudio/Sources/AuraStudio/Views/DoneView.swift,137,Button,Reintentar (ya preparé el iPod con iTunes),Reintentar (ya preparé el iPod con iTunes),no,
done-view.tu-ipod-sigue-mostrando-firmware-origina,studio/AuraStudio/Sources/AuraStudio/Views/DoneView.swift,79,Label,¿Tu iPod sigue mostrando el firmware original?,¿Tu iPod sigue mostrando el firmware original?,no,
enter-d-f-u-view.aura-studio-no-puede-detectar-modo,studio/AuraStudio/Sources/AuraStudio/Views/EnterDFUView.swift,70,Label,Aura Studio no puede detectar el modo DFU,Aura Studio no puede detectar el modo DFU,no,
enter-d-f-u-view.entra-modo-dfu,studio/AuraStudio/Sources/AuraStudio/Views/EnterDFUView.swift,21,Text,Entra a modo DFU,Entra a modo DFU,no,
enter-d-f-u-view.esperando-modo-dfu,studio/AuraStudio/Sources/AuraStudio/Views/EnterDFUView.swift,80,Label,Esperando modo DFU...,Esperando modo DFU...,no,
enter-d-f-u-view.modo-dfu-detectado,studio/AuraStudio/Sources/AuraStudio/Views/EnterDFUView.swift,61,Label,Modo DFU detectado,Modo DFU detectado,no,
enter-d-f-u-view.no-aparece-pausar-servicios-macos-que,studio/AuraStudio/Sources/AuraStudio/Views/EnterDFUView.swift,36,Button,¿No aparece? Pausar los servicios de macOS que pueden interferir,¿No aparece? Pausar los servicios de macOS que pueden interferir,no,
enter-d-f-u-view.pedira-tu-contrasena-se-reactivan-solos,studio/AuraStudio/Sources/AuraStudio/Views/EnterDFUView.swift,39,Text,Pedirá tu contraseña. Se reactivan solos al terminar.,Pedirá tu contraseña. Se reactivan solos al terminar.,no,
extras-view.cambiar,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,192,Label,Cambiar a \(chosen.displayName),Cambiar a %@,sí,
extras-view.consultando-github,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,135,Text,Consultando GitHub...,Consultando GitHub...,no,
extras-view.disponible-dispositivo,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,235,Text,Disponible en el dispositivo,Disponible en el dispositivo,no,
extras-view.elige-cual-firmwares-instalables-usa-aur,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,96,Text,"Elige cuál de los firmwares instalables usa Aura Studio la próxima vez que abras el Instalador. Todos son software libre (GPL v2), derivados de Rockbox, y comparten la misma biblioteca: tu música, fotos y videos se sincronizan igual con cualquiera.","Elige cuál de los firmwares instalables usa Aura Studio la próxima vez que abras el Instalador. Todos son software libre (GPL v2), derivados de Rockbox, y comparten la misma biblioteca: tu música, fotos y videos se sincronizan igual con cualquiera.",no,
extras-view.es-firmware-activo-tu-ipod,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,173,Text,\(active.displayName) es el firmware activo de tu iPod.,%@ es el firmware activo de tu iPod.,sí,
extras-view.estos-extras-ipod-original-no-estan,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,251,Text,"Estos extras del iPod original no estan implementados en Aura. Cuando existan, se van a poder gestionar desde aca.","Estos extras del iPod original no estan implementados en Aura. Cuando existan, se van a poder gestionar desde aca.",no,
extras-view.extras,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,76,.navigationTitle,Extras,Extras,no,
extras-view.firmware,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,95,Text,Firmware,Firmware,no,
extras-view.incluida,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,317,Text,incluida,incluida,no,
extras-view.instalar,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,205,Label,Instalar \(chosen.displayName),Instalar %@,sí,
extras-view.licencias,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,222,Text,Licencias,Licencias,no,2
extras-view.licencias,studio/AuraStudio/Sources/AuraStudio/Views/LicensesView.swift,26,Text,Licencias,Licencias,no,2
extras-view.revisar-nuevo,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,144,Button,Revisar de nuevo,Revisar de nuevo,no,
extras-view.todavia-no,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,250,Text,Todavia no,Todavia no,no,
extras-view.tu-ipod-tiene-instalar-lo-agrega,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,199,Text,Tu iPod tiene \(active.displayName). Instalar \(chosen.displayName) lo agrega: \(active.displayName) se guarda dormido con sus ajustes y podrás volver a él desde aquí sin volver a instalar nada.,Tu iPod tiene %@. Instalar %@ lo agrega: %@ se guarda dormido con sus ajustes y podrás volver a él desde aquí sin volver a instalar nada.,sí,
extras-view.ya-esta-instalado-tu-ipod-dormido,studio/AuraStudio/Sources/AuraStudio/Views/ExtrasView.swift,178,Text,"\(chosen.displayName) ya está instalado en tu iPod, dormido, con sus ajustes guardados. Cambiar toma un segundo (no descarga ni borra nada); después hay que reiniciar el iPod y la primera vez reconstruye su base de música.","%@ ya está instalado en tu iPod, dormido, con sus ajustes guardados. Cambiar toma un segundo (no descarga ni borra nada); después hay que reiniciar el iPod y la primera vez reconstruye su base de música.",sí,
f-fmpeg-transcoder.2f,studio/AuraStudio/Sources/AuraStudio/Services/FFmpegTranscoder.swift,213,String(format:),%.2f,%.2f,no,2
f-fmpeg-transcoder.2f,studio/AuraStudio/Sources/AuraStudio/Services/FFmpegTranscoder.swift,272,String(format:),%.2f,%.2f,no,2
git-hub-token-settings-view.consulta-releases-aura-firmware-con-toke,studio/AuraStudio/Sources/AuraStudio/Views/GitHubTokenSettingsView.swift,87,.help,Consulta los Releases de Aura-Firmware con el token guardado y muestra la versión más nueva,Consulta los Releases de Aura-Firmware con el token guardado y muestra la versión más nueva,no,
git-hub-token-settings-view.crear-token-github,studio/AuraStudio/Sources/AuraStudio/Views/GitHubTokenSettingsView.swift,49,Label,Crear el token en GitHub,Crear el token en GitHub,no,
git-hub-token-settings-view.github-opcional,studio/AuraStudio/Sources/AuraStudio/Views/GitHubTokenSettingsView.swift,40,Text,GitHub (opcional),GitHub (opcional),no,
git-hub-token-settings-view.guardar,studio/AuraStudio/Sources/AuraStudio/Views/GitHubTokenSettingsView.swift,67,Button,Guardar,Guardar,no,6
git-hub-token-settings-view.guardar,studio/AuraStudio/Sources/AuraStudio/Views/MediaInfoView.swift,291,Button,Guardar,Guardar,no,6
git-hub-token-settings-view.guardar,studio/AuraStudio/Sources/AuraStudio/Views/MediaInfoView.swift,313,Button,Guardar,Guardar,no,6
git-hub-token-settings-view.guardar,studio/AuraStudio/Sources/AuraStudio/Views/MediaSectionView.swift,1405,Button,Guardar,Guardar,no,6
git-hub-token-settings-view.guardar,studio/AuraStudio/Sources/AuraStudio/Views/PhotoAlbumsView.swift,569,Button,Guardar,Guardar,no,6
git-hub-token-settings-view.guardar,studio/AuraStudio/Sources/AuraStudio/Views/ServicesSettingsView.swift,278,Button,Guardar,Guardar,no,6
git-hub-token-settings-view.probar,studio/AuraStudio/Sources/AuraStudio/Views/GitHubTokenSettingsView.swift,83,Text,Probar,Probar,no,
git-hub-token-settings-view.quitar,studio/AuraStudio/Sources/AuraStudio/Views/GitHubTokenSettingsView.swift,69,Button,Quitar,Quitar,no,2
git-hub-token-settings-view.quitar,studio/AuraStudio/Sources/AuraStudio/Views/ServicesSettingsView.swift,286,Button,Quitar,Quitar,no,2
git-hub-token-settings-view.repositorios-firmwares-son-publicos-aura,studio/AuraStudio/Sources/AuraStudio/Views/GitHubTokenSettingsView.swift,56,Text,"Los repositorios de los firmwares son públicos: Aura Studio ya avisa de versiones nuevas sin necesitar nada de esto. Un token de solo lectura solo eleva el límite de consultas a la API de GitHub (útil si compartes tu conexión con muchas otras consultas); instalar el firmware nunca depende de esto, porque viene incluido en la app.","Los repositorios de los firmwares son públicos: Aura Studio ya avisa de versiones nuevas sin necesitar nada de esto. Un token de solo lectura solo eleva el límite de consultas a la API de GitHub (útil si compartes tu conexión con muchas otras consultas); instalar el firmware nunca depende de esto, porque viene incluido en la app.",no,
git-hub-token-settings-view.si-todas-formas-quieres-uno-crea,studio/AuraStudio/Sources/AuraStudio/Views/GitHubTokenSettingsView.swift,59,Text,"Si de todas formas quieres uno: crea un fine-grained token en github.com › Settings › Developer settings con acceso solo a Aura-Firmware, Metro-Aura y moonlit-aura y permiso Contents: Read-only.","Si de todas formas quieres uno: crea un fine-grained token en github.com › Settings › Developer settings con acceso solo a Aura-Firmware, Metro-Aura y moonlit-aura y permiso Contents: Read-only.",no,
git-hub-token-settings-view.token-llavero,studio/AuraStudio/Sources/AuraStudio/Views/GitHubTokenSettingsView.swift,42,Label,Token en el Llavero,Token en el Llavero,no,
install-manifest.08x-llu,studio/AuraStudio/Sources/AuraStudio/Services/InstallManifest.swift,97,String(format:),%08x %llu %@,%08x %llu %@,no,
installer-home-view.actualizar-arranque,studio/AuraStudio/Sources/AuraStudio/Views/InstallerHomeView.swift,108,Label,Actualizar el arranque,Actualizar el arranque,no,2
installer-home-view.actualizar-arranque,studio/AuraStudio/Sources/AuraStudio/Views/UpdateBootloaderView.swift,26,Text,Actualizar el arranque,Actualizar el arranque,no,2
installer-home-view.firmware-instalar-se-elige-extras-firmwa,studio/AuraStudio/Sources/AuraStudio/Views/InstallerHomeView.swift,71,Label,Firmware a instalar: \(name) -- se elige en Extras › Firmware,Firmware a instalar: %@ -- se elige en Extras › Firmware,sí,
installer-home-view.restaurar-ipod-original,studio/AuraStudio/Sources/AuraStudio/Views/InstallerHomeView.swift,90,Label,Restaurar iPod original,Restaurar iPod original,no,
installer-wizard-view.cancelar-instalacion,studio/AuraStudio/Sources/AuraStudio/Views/InstallerWizardView.swift,119,Button,Cancelar instalación,Cancelar instalación,no,
installer-wizard-view.continuar,studio/AuraStudio/Sources/AuraStudio/Views/InstallerWizardView.swift,128,Button,Continuar,Continuar,no,2
installer-wizard-view.continuar,studio/AuraStudio/Sources/AuraStudio/Views/PrivilegedActionSheet.swift,36,Button,Continuar,Continuar,no,2
installer-wizard-view.detener,studio/AuraStudio/Sources/AuraStudio/Views/InstallerWizardView.swift,127,Button,Detener,Detener,no,
installer-wizard-view.detener-proceso,studio/AuraStudio/Sources/AuraStudio/Views/InstallerWizardView.swift,126,.alert,¿Detener el proceso?,¿Detener el proceso?,no,
installer-wizard-view.detener-proceso-mitad-puede-dejar-disco,studio/AuraStudio/Sources/AuraStudio/Views/InstallerWizardView.swift,130,Text,"Detener el proceso a la mitad puede dejar el disco del iPod con errores. Si eso pasa, vuelve a correr el instalador para repararlo.","Detener el proceso a la mitad puede dejar el disco del iPod con errores. Si eso pasa, vuelve a correr el instalador para repararlo.",no,
installing-view.no-desconectes-ipod-ni-cierres-aura,studio/AuraStudio/Sources/AuraStudio/Views/InstallingView.swift,25,Text,No desconectes el iPod ni cierres Aura Studio durante este paso.,No desconectes el iPod ni cierres Aura Studio durante este paso.,no,
library-browsing-components.borrar-busqueda,studio/AuraStudio/Sources/AuraStudio/Views/LibraryBrowsingComponents.swift,549,.help,Borrar búsqueda,Borrar búsqueda,no,
library-status-bar.texto,studio/AuraStudio/Sources/AuraStudio/Views/LibraryStatusBar.swift,17,Text,—,—,no,
library-sync.02d,studio/AuraStudio/Sources/AuraStudio/Services/LibrarySync.swift,1282,String(format:),%02d %@,%02d %@,no,
library-sync.s-02d,studio/AuraStudio/Sources/AuraStudio/Services/LibrarySync.swift,1521,String(format:), S%02d, S%02d,no,
library-sync.s-02de-02d,studio/AuraStudio/Sources/AuraStudio/Services/LibrarySync.swift,1481,String(format:), S%02dE%02d, S%02dE%02d,no,
library-unavailable-view.crear-nueva,studio/AuraStudio/Sources/AuraStudio/Views/LibraryUnavailableView.swift,60,Button,Crear una nueva,Crear una nueva,no,
library-unavailable-view.elegir-otra-biblioteca,studio/AuraStudio/Sources/AuraStudio/Views/LibraryUnavailableView.swift,59,Button,Elegir otra biblioteca...,Elegir otra biblioteca...,no,
library-unavailable-view.instalador-extras-siguen-funcionando-sin,studio/AuraStudio/Sources/AuraStudio/Views/LibraryUnavailableView.swift,64,Text,El Instalador y Extras siguen funcionando sin la biblioteca.,El Instalador y Extras siguen funcionando sin la biblioteca.,no,
library-unavailable-view.no-se-perdio-nada-tu-catalogo,studio/AuraStudio/Sources/AuraStudio/Views/LibraryUnavailableView.swift,40,Text,No se perdió nada: tu catálogo y tus archivos siguen en ese disco. Aura Studio no va a tocar nada hasta que vuelva a estar disponible.,No se perdió nada: tu catálogo y tus archivos siguen en ese disco. Aura Studio no va a tocar nada hasta que vuelva a estar disponible.,no,
licenses-view.aura-studio-es-gratuita-se-distribuye,studio/AuraStudio/Sources/AuraStudio/Views/LicensesView.swift,35,Text,"Aura Studio es gratuita y se distribuye sin fines comerciales. Trae embebidos, tal cual se publicaron y sin modificarlos, los firmwares instalables para iPod Classic 6G, todos software libre bajo la Licencia Pública General de GNU versión 2 (GPL v2). Cada uno es un derivado de Rockbox; su código fuente completo, la versión exacta incluida aquí y el registro de cambios respecto a Rockbox están en los enlaces de abajo, como exige la sección 3 de esa licencia.","Aura Studio es gratuita y se distribuye sin fines comerciales. Trae embebidos, tal cual se publicaron y sin modificarlos, los firmwares instalables para iPod Classic 6G, todos software libre bajo la Licencia Pública General de GNU versión 2 (GPL v2). Cada uno es un derivado de Rockbox; su código fuente completo, la versión exacta incluida aquí y el registro de cambios respecto a Rockbox están en los enlaces de abajo, como exige la sección 3 de esa licencia.",no,
licenses-view.gpl-v2,studio/AuraStudio/Sources/AuraStudio/Views/LicensesView.swift,68,Text,GPL v2,GPL v2,no,
licenses-view.rockbox,studio/AuraStudio/Sources/AuraStudio/Views/LicensesView.swift,44,Text,Rockbox,Rockbox,no,
